name,first_name,last_name,price,above_100
William Dixon,William,Dixon,109.0372796,True
Kristen Horn,Kristen,Horn,262.5246522,True
Kimberly Chang,Kimberly,Chang,187.0072583,True
Mary Ball,Mary,Ball,283.1746476,True
Benjamin Craig,Benjamin,Craig,143.8715817,True
Cathy Werner,Cathy,Werner,61.50899135,False
Brandon Bell,Brandon,Bell,48.6373091,False
Paul Farley,Paul,Farley,12.38946479,False
Sarah Mcdaniel,Sarah,Mcdaniel,151.5954472,True
Caroline Anderson,Caroline,Anderson,75.62152103,False
Carl Jones,Carl,Jones,147.0294047,True
Scott Lee,Scott,Lee,244.1856527,True
Kaylee Coleman,Kaylee,Coleman,17.86427032,False
Charles Parker,Charles,Parker,215.537283,True
Susan Hess,Susan,Hess,38.35997063,False
Kiara Collier,Kiara,Collier,204.1825486,True
Scott Martinez,Scott,Martinez,165.8514289,True
Christopher Ortega,Christopher,Ortega,30.30144506,False
Michael Russell,Michael,Russell,243.1724911,True
Dwayne Johnson,Dwayne,Johnson,287.4932856,True
Patty Smith,Patty,Smith,180.2344257,True
Deanna Sherman,Deanna,Sherman,99.79911842,False
Douglas Francis,Douglas,Francis,161.7688908,True
Vicki Diaz,Vicki,Diaz,18.64987672,False
Robin Phillips,Robin,Phillips,244.9119836,True
Travis Rice,Travis,Rice,141.4988254,True
Ashley Rocha,Ashley,Rocha,50.00303731,False
Sarah Jacobson,Sarah,Jacobson,80.48182457,False
Kayla Shannon,Kayla,Shannon,98.91531394,False
Sean Wang DDS,Sean,Wang DDS,220.6282177,True
Richard Estrada,Richard,Estrada,49.16869151,False
Joseph Torres,Joseph,Torres,150.1237842,True
Kim Jones,Kim,Jones,18.8434377,False
Melissa Tanner,Melissa,Tanner,269.1840299,True
Jackson Cline,Jackson,Cline,64.31251721,False
Sonya Foster,Sonya,Foster,296.2155012,True
Allen Williams,Allen,Williams,15.3908317,False
Thomas Rivera,Thomas,Rivera,95.22843716,False
Jamie Silva,Jamie,Silva,296.8244075,True
Kathleen Moore,Kathleen,Moore,92.50052419,False
Evelyn Pineda,Evelyn,Pineda,169.2289293,True
Kyle Peters,Kyle,Peters,106.7990952,True
Anthony Cruz,Anthony,Cruz,49.10199817,False
Eric Flores,Eric,Flores,122.9556986,True
Anna Richardson,Anna,Richardson,254.4952606,True
Gary Harper,Gary,Harper,47.59652592,False
Linda Johnson,Linda,Johnson,115.3627815,True
Melissa Smith,Melissa,Smith,87.97994846,False
Kristen Floyd,Kristen,Floyd,135.0230413,True
William Diaz,William,Diaz,192.1491355,True
Benjamin Smith,Benjamin,Smith,134.9052939,True
David Glenn,David,Glenn,216.2910463,True
Dawn Jones,Dawn,Jones,271.6144999,True
Joel Smith,Joel,Smith,14.4949198,False
Larry Grimes MD,Larry,Grimes MD,268.6758682,True
Joseph Arnold,Joseph,Arnold,121.7750468,True
Kyle Long,Kyle,Long,241.6216391,True
Brittany Day,Brittany,Day,261.5460574,True
Bobby Ward,Bobby,Ward,63.5130358,False
Thomas Lee,Thomas,Lee,254.0755771,True
Jennifer Hansen,Jennifer,Hansen,101.4887352,True
Lisa Murray,Lisa,Murray,176.0919174,True
Meghan Wade,Meghan,Wade,273.2303409,True
Tammie Brooks,Tammie,Brooks,84.88856949,False
Maria Bell,Maria,Bell,264.0746652,True
Allison Livingston,Allison,Livingston,130.3484426,True
Chris Hays,Chris,Hays,17.34276379,False
Courtney Mitchell,Courtney,Mitchell,78.93257699,False
Shawn White,Shawn,White,188.0219256,True
Taylor Gomez,Taylor,Gomez,225.0198237,True
Jeremy Rodriguez,Jeremy,Rodriguez,200.7248208,True
April Garcia,April,Garcia,66.24555967,False
Zachary Watts,Zachary,Watts,15.49738786,False
Sarah Montoya,Sarah,Montoya,206.8212547,True
Jennifer Barker,Jennifer,Barker,89.18615989,False
Sharon Garza,Sharon,Garza,72.35772704,False
Tiffany Stevens,Tiffany,Stevens,196.379322,True
Ruben Armstrong,Ruben,Armstrong,93.69836738,False
Jeffrey Spencer,Jeffrey,Spencer,271.162282,True
Nicole Ramsey,Nicole,Ramsey,247.8596071,True
Anne Roy,Anne,Roy,277.9324821,True
Lori Sanchez,Lori,Sanchez,285.6616405,True
Allison Chavez,Allison,Chavez,126.850211,True
Marcus Adams,Marcus,Adams,36.47040894,False
Mary Smith,Mary,Smith,16.31507197,False
Joseph Reed,Joseph,Reed,178.4576742,True
Jason Armstrong,Jason,Armstrong,26.04525746,False
Jeff Armstrong,Jeff,Armstrong,88.47561284,False
Sean Shields,Sean,Shields,247.8395255,True
Jessica Allison,Jessica,Allison,104.742308,True
Christian Grant,Christian,Grant,99.11707917,False
Edward Watson,Edward,Watson,180.3535589,True
Derrick Cooke,Derrick,Cooke,142.090116,True
Arthur Hall MD,Arthur,Hall MD,235.9669749,True
Sean Patrick,Sean,Patrick,139.4507994,True
Heather Collins,Heather,Collins,127.3925734,True
Megan Gomez,Megan,Gomez,107.8624451,True
William Hale,William,Hale,114.6709254,True
Olivia Thompson,Olivia,Thompson,8.608441014,False
Lori Torres,Lori,Torres,18.85827433,False
Vickie Hernandez,Vickie,Hernandez,214.9321807,True
Kimberly Brown,Kimberly,Brown,40.3199327,False
Sherry Meza,Sherry,Meza,182.8545499,True
Phillip Hansen,Phillip,Hansen,44.11611704,False
Jeanette Knight,Jeanette,Knight,28.68694329,False
Kayla Hanson,Kayla,Hanson,27.63036397,False
James Johnston,James,Johnston,284.4290554,True
John Porter,John,Porter,53.72799274,False
Elizabeth Reyes,Elizabeth,Reyes,93.68075684,False
Kristen Henry,Kristen,Henry,77.00624357,False
Claudia Anderson,Claudia,Anderson,160.3401593,True
Nicholas Webb,Nicholas,Webb,18.71038619,False
Allison Cooper,Allison,Cooper,206.0421068,True
Zachary Barnes,Zachary,Barnes,280.7741315,True
Gregory Hill III,Gregory,Hill III,265.9765808,True
Terry Ayers,Terry,Ayers,16.51163899,False
Jessica Wilson,Jessica,Wilson,290.4095461,True
Daniel Frazier,Daniel,Frazier,190.3291917,True
Brian Welch,Brian,Welch,218.2505083,True
Carol Chavez,Carol,Chavez,123.1834427,True
Ethan Mcdonald,Ethan,Mcdonald,214.3503174,True
Gerald Martinez,Gerald,Martinez,57.54786356,False
Eric King,Eric,King,59.87926423,False
Sylvia Walters,Sylvia,Walters,110.9463132,True
Jonathan Lane,Jonathan,Lane,64.46710142,False
Matthew Turner,Matthew,Turner,180.2628702,True
Jeffrey Bauer,Jeffrey,Bauer,30.51584181,False
Jessica Shaffer,Jessica,Shaffer,54.90193651,False
Chris Spencer,Chris,Spencer,251.3752831,True
Mary Clarke,Mary,Clarke,236.0529879,True
Timothy Mendoza,Timothy,Mendoza,105.9834816,True
Alicia Hoffman,Alicia,Hoffman,182.343699,True
Joseph Gardner,Joseph,Gardner,144.8091344,True
Rachael Rangel,Rachael,Rangel,297.9496406,True
Jeffrey Harrington,Jeffrey,Harrington,194.2716338,True
Sophia Randolph,Sophia,Randolph,158.543126,True
Debbie Freeman,Debbie,Freeman,275.8719167,True
Matthew Braun,Matthew,Braun,201.7749657,True
Sheri Hudson,Sheri,Hudson,268.3748402,True
Mary King,Mary,King,204.0785754,True
Beth Davis,Beth,Davis,155.0680648,True
Margaret Castillo,Margaret,Castillo,193.9063244,True
Tommy Sandoval,Tommy,Sandoval,172.283041,True
Christopher Hines,Christopher,Hines,46.55435299,False
